T	A[3]	A[2]	A[1]	A[0]	B[3]	B[2]	B[1]	B[0]	O[3]	O[2]	O[1]	O[0]
0	0	0	1	1	1	1	0	1	1	-	1	-
0	0	0	1	1	1	1	1	0	1	-	1	-
0	0	0	1	1	1	1	1	1	1	-	1	-
0	0	1	0	0	0	0	0	0	0	-	0	-
0	0	1	0	0	0	0	0	1	0	-	0	-
0	0	1	0	0	0	0	1	0	0	-	0	-
0	0	1	0	0	0	0	1	1	0	-	0	-
0	0	1	0	0	0	1	0	0	0	-	0	-
0	0	1	0	0	0	1	0	1	0	-	0	-
0	0	1	0	0	0	1	1	0	0	-	0	-
0	0	1	0	0	0	1	1	1	0	-	0	-
0	0	1	0	0	1	0	0	0	1	-	1	-
0	0	1	0	0	1	0	0	1	1	-	1	-
0	0	1	0	0	1	0	1	0	1	-	1	-
0	0	1	0	0	1	0	1	1	1	-	1	-
0	0	1	0	0	1	1	0	0	1	-	1	-
0	0	1	0	0	1	1	0	1	1	-	1	-
0	0	1	0	0	1	1	1	0	1	-	1	-
0	0	1	0	0	1	1	1	1	1	-	1	-
0	0	1	0	1	0	0	0	0	0	-	0	-
0	0	1	0	1	0	0	0	1	0	-	0	-
0	0	1	0	1	0	0	1	0	0	-	0	-
0	0	1	0	1	0	0	1	1	0	-	0	-
0	0	1	0	1	0	1	0	0	0	-	0	-
0	0	1	0	1	0	1	0	1	0	-	0	-
0	0	1	0	1	0	1	1	0	0	-	0	-
0	0	1	0	1	0	1	1	1	0	-	0	-
0	0	1	0	1	1	0	0	0	1	-	1	-
0	0	1	0	1	1	0	0	1	1	-	1	-
0	0	1	0	1	1	0	1	0	1	-	1	-
0	0	1	0	1	1	0	1	1	1	-	1	-
0	0	1	0	1	1	1	0	0	1	-	1	-
0	0	1	0	1	1	1	0	1	1	-	1	-
0	0	1	0	1	1	1	1	0	1	-	1	-
0	0	1	0	1	1	1	1	1	1	-	1	-
0	0	1	1	0	0	0	0	0	0	-	0	-
0	0	1	1	0	0	0	0	1	0	-	0	-
0	0	1	1	0	0	0	1	0	0	-	0	-
0	0	1	1	0	0	0	1	1	0	-	0	-
0	0	1	1	0	0	1	0	0	0	-	0	-
0	0	1	1	0	0	1	0	1	0	-	0	-
0	0	1	1	0	0	1	1	0	0	-	0	-
0	0	1	1	0	0	1	1	1	0	-	0	-
0	0	1	1	0	1	0	0	0	1	-	1	-
0	0	1	1	0	1	0	0	1	1	-	1	-
0	0	1	1	0	1	0	1	0	1	-	1	-
0	0	1	1	0	1	0	1	1	1	-	1	-
0	0	1	1	0	1	1	0	0	1	-	1	-
0	0	1	1	0	1	1	0	1	1	-	1	-
0	0	1	1	0	1	1	1	0	1	-	1	-
0	0	1	1	0	1	1	1	1	1	-	1	-
0	0	1	1	1	0	0	0	0	0	-	0	-
0	0	1	1	1	0	0	0	1	0	-	0	-
0	0	1	1	1	0	0	1	0	0	-	0	-
0	0	1	1	1	0	0	1	1	0	-	0	-
0	0	1	1	1	0	1	0	0	0	-	0	-
0	0	1	1	1	0	1	0	1	0	-	0	-
0	0	1	1	1	0	1	1	0	0	-	0	-
0	0	1	1	1	0	1	1	1	0	-	0	-
0	0	1	1	1	1	0	0	0	1	-	1	-
0	0	1	1	1	1	0	0	1	1	-	1	-
0	0	1	1	1	1	0	1	0	1	-	1	-
0	0	1	1	1	1	0	1	1	1	-	1	-
0	0	1	1	1	1	1	0	0	1	-	1	-
0	0	1	1	1	1	1	0	1	1	-	1	-
0	0	1	1	1	1	1	1	0	1	-	1	-
0	0	1	1	1	1	1	1	1	1	-	1	-
0	1	0	0	0	0	0	0	0	1	-	1	-
0	1	0	0	0	0	0	0	1	1	-	1	-
0	1	0	0	0	0	0	1	0	1	-	1	-
0	1	0	0	0	0	0	1	1	1	-	1	-
0	1	0	0	0	0	1	0	0	1	-	1	-
0	1	0	0	0	0	1	0	1	1	-	1	-
0	1	0	0	0	0	1	1	0	1	-	1	-
0	1	0	0	0	0	1	1	1	1	-	1	-
0	1	0	0	0	1	0	0	0	1	-	1	-
0	1	0	0	0	1	0	0	1	1	-	1	-
0	1	0	0	0	1	0	1	0	1	-	1	-
0	1	0	0	0	1	0	1	1	1	-	1	-
0	1	0	0	0	1	1	0	0	1	-	1	-
0	1	0	0	0	1	1	0	1	1	-	1	-
0	1	0	0	0	1	1	1	0	1	-	1	-
0	1	0	0	0	1	1	1	1	1	-	1	-
0	1	0	0	1	0	0	0	0	1	-	1	-
0	1	0	0	1	0	0	0	1	1	-	1	-
0	1	0	0	1	0	0	1	0	1	-	1	-
0	1	0	0	1	0	0	1	1	1	-	1	-
0	1	0	0	1	0	1	0	0	1	-	1	-
0	1	0	0	1	0	1	0	1	1	-	1	-
0	1	0	0	1	0	1	1	0	1	-	1	-
0	1	0	0	1	0	1	1	1	1	-	1	-
0	1	0	0	1	1	0	0	0	1	-	1	-
0	1	0	0	1	1	0	0	1	1	-	1	-
0	1	0	0	1	1	0	1	0	1	-	1	-
0	1	0	0	1	1	0	1	1	1	-	1	-
0	1	0	0	1	1	1	0	0	1	-	1	-
0	1	0	0	1	1	1	0	1	1	-	1	-
0	1	0	0	1	1	1	1	0	1	-	1	-
0	1	0	0	1	1	1	1	1	1	-	1	-
0	1	0	1	0	0	0	0	0	1	-	1	-
0	1	0	1	0	0	0	0	1	1	-	1	-
0	1	0	1	0	0	0	1	0	1	-	1	-
0	1	0	1	0	0	0	1	1	1	-	1	-
0	1	0	1	0	0	1	0	0	1	-	1	-
0	1	0	1	0	0	1	0	1	1	-	1	-
0	1	0	1	0	0	1	1	0	1	-	1	-
0	1	0	1	0	0	1	1	1	1	-	1	-
0	1	0	1	0	1	0	0	0	1	-	1	-
0	1	0	1	0	1	0	0	1	1	-	1	-
0	1	0	1	0	1	0	1	0	1	-	1	-
0	1	0	1	0	1	0	1	1	1	-	1	-
0	1	0	1	0	1	1	0	0	1	-	1	-
0	1	0	1	0	1	1	0	1	1	-	1	-
0	1	0	1	0	1	1	1	0	1	-	1	-
0	1	0	1	0	1	1	1	1	1	-	1	-
0	1	0	1	1	0	0	0	0	1	-	1	-
0	1	0	1	1	0	0	0	1	1	-	1	-
0	1	0	1	1	0	0	1	0	1	-	1	-
0	1	0	1	1	0	0	1	1	1	-	1	-
0	1	0	1	1	0	1	0	0	1	-	1	-
0	1	0	1	1	0	1	0	1	1	-	1	-
0	1	0	1	1	0	1	1	0	1	-	1	-
0	1	0	1	1	0	1	1	1	1	-	1	-
0	1	0	1	1	1	0	0	0	1	-	1	-
0	1	0	1	1	1	0	0	1	1	-	1	-
0	1	0	1	1	1	0	1	0	1	-	1	-
0	1	0	1	1	1	0	1	1	1	-	1	-
0	1	0	1	1	1	1	0	0	1	-	1	-
0	1	0	1	1	1	1	0	1	1	-	1	-
0	1	0	1	1	1	1	1	0	1	-	1	-
0	1	0	1	1	1	1	1	1	1	-	1	-
0	1	1	0	0	0	0	0	0	1	-	1	-
0	1	1	0	0	0	0	0	1	1	-	1	-
0	1	1	0	0	0	0	1	0	1	-	1	-
0	1	1	0	0	0	0	1	1	1	-	1	-
0	1	1	0	0	0	1	0	0	1	-	1	-
0	1	1	0	0	0	1	0	1	1	-	1	-
0	1	1	0	0	0	1	1	0	1	-	1	-
0	1	1	0	0	0	1	1	1	1	-	1	-
0	1	1	0	0	1	0	0	0	1	-	1	-
0	1	1	0	0	1	0	0	1	1	-	1	-
0	1	1	0	0	1	0	1	0	1	-	1	-
0	1	1	0	0	1	0	1	1	1	-	1	-
0	1	1	0	0	1	1	0	0	1	-	1	-
0	1	1	0	0	1	1	0	1	1	-	1	-
0	1	1	0	0	1	1	1	0	1	-	1	-
0	1	1	0	0	1	1	1	1	1	-	1	-
0	1	1	0	1	0	0	0	0	1	-	1	-
0	1	1	0	1	0	0	0	1	1	-	1	-
0	1	1	0	1	0	0	1	0	1	-	1	-
0	1	1	0	1	0	0	1	1	1	-	1	-
0	1	1	0	1	0	1	0	0	1	-	1	-
0	1	1	0	1	0	1	0	1	1	-	1	-
0	1	1	0	1	0	1	1	0	1	-	1	-
0	1	1	0	1	0	1	1	1	1	-	1	-
0	1	1	0	1	1	0	0	0	1	-	1	-
0	1	1	0	1	1	0	0	1	1	-	1	-
0	1	1	0	1	1	0	1	0	1	-	1	-
0	1	1	0	1	1	0	1	1	1	-	1	-
0	1	1	0	1	1	1	0	0	1	-	1	-
0	1	1	0	1	1	1	0	1	1	-	1	-
0	1	1	0	1	1	1	1	0	1	-	1	-
0	1	1	0	1	1	1	1	1	1	-	1	-
0	1	1	1	0	0	0	0	0	1	-	1	-
0	1	1	1	0	0	0	0	1	1	-	1	-
0	1	1	1	0	0	0	1	0	1	-	1	-
0	1	1	1	0	0	0	1	1	1	-	1	-
0	1	1	1	0	0	1	0	0	1	-	1	-
0	1	1	1	0	0	1	0	1	1	-	1	-
0	1	1	1	0	0	1	1	0	1	-	1	-
0	1	1	1	0	0	1	1	1	1	-	1	-
0	1	1	1	0	1	0	0	0	1	-	1	-
0	1	1	1	0	1	0	0	1	1	-	1	-
0	1	1	1	0	1	0	1	0	1	-	1	-
0	1	1	1	0	1	0	1	1	1	-	1	-
0	1	1	1	0	1	1	0	0	1	-	1	-
0	1	1	1	0	1	1	0	1	1	-	1	-
0	1	1	1	0	1	1	1	0	1	-	1	-
0	1	1	1	0	1	1	1	1	1	-	1	-
0	1	1	1	1	0	0	0	0	1	-	1	-
0	1	1	1	1	0	0	0	1	1	-	1	-
0	1	1	1	1	0	0	1	0	1	-	1	-
0	1	1	1	1	0	0	1	1	1	-	1	-
0	1	1	1	1	0	1	0	0	1	-	1	-
0	1	1	1	1	0	1	0	1	1	-	1	-
0	1	1	1	1	0	1	1	0	1	-	1	-
0	1	1	1	1	0	1	1	1	1	-	1	-
0	1	1	1	1	1	0	0	0	1	-	1	-
0	1	1	1	1	1	0	0	1	1	-	1	-
0	1	1	1	1	1	0	1	0	1	-	1	-
0	1	1	1	1	1	0	1	1	1	-	1	-
0	1	1	1	1	1	1	0	0	1	-	1	-
0	1	1	1	1	1	1	0	1	1	-	1	-
0	1	1	1	1	1	1	1	0	1	-	1	-
0	1	1	1	1	1	1	1	1	1	-	1	-
1	0	0	0	0	0	0	0	0	0	-	0	-
1	0	0	0	0	0	0	0	1	0	-	1	-
1	0	0	0	0	0	0	1	0	0	-	1	-
1	0	0	0	0	0	0	1	1	0	-	0	-
1	0	0	0	0	0	1	0	0	0	-	1	-
1	0	0	0	0	0	1	0	1	0	-	0	-
1	0	0	0	0	0	1	1	0	0	-	0	-
1	0	0	0	0	0	1	1	1	0	-	1	-
1	0	0	0	0	1	0	0	0	0	-	0	-
1	0	0	0	0	1	0	0	1	0	-	1	-
1	0	0	0	0	1	0	1	0	0	-	1	-
1	0	0	0	0	1	0	1	1	0	-	0	-
1	0	0	0	0	1	1	0	0	0	-	1	-
1	0	0	0	0	1	1	0	1	0	-	0	-
1	0	0	0	0	1	1	1	0	0	-	0	-
1	0	0	0	0	1	1	1	1	0	-	1	-
1	0	0	0	1	0	0	0	0	1	-	0	-
1	0	0	0	1	0	0	0	1	1	-	1	-
1	0	0	0	1	0	0	1	0	1	-	1	-
1	0	0	0	1	0	0	1	1	1	-	0	-
1	0	0	0	1	0	1	0	0	1	-	1	-
1	0	0	0	1	0	1	0	1	1	-	0	-
1	0	0	0	1	0	1	1	0	1	-	0	-
1	0	0	0	1	0	1	1	1	1	-	1	-
1	0	0	0	1	1	0	0	0	1	-	0	-
1	0	0	0	1	1	0	0	1	1	-	1	-
1	0	0	0	1	1	0	1	0	1	-	1	-
1	0	0	0	1	1	0	1	1	1	-	0	-
1	0	0	0	1	1	1	0	0	1	-	1	-
1	0	0	0	1	1	1	0	1	1	-	0	-
1	0	0	0	1	1	1	1	0	1	-	0	-
1	0	0	0	1	1	1	1	1	1	-	1	-
1	0	0	1	0	0	0	0	0	1	-	0	-
1	0	0	1	0	0	0	0	1	1	-	1	-
1	0	0	1	0	0	0	1	0	1	-	1	-
1	0	0	1	0	0	0	1	1	1	-	0	-
1	0	0	1	0	0	1	0	0	1	-	1	-
1	0	0	1	0	0	1	0	1	1	-	0	-
1	0	0	1	0	0	1	1	0	1	-	0	-
1	0	0	1	0	0	1	1	1	1	-	1	-
1	0	0	1	0	1	0	0	0	1	-	0	-
1	0	0	1	0	1	0	0	1	1	-	1	-
1	0	0	1	0	1	0	1	0	1	-	1	-
1	0	0	1	0	1	0	1	1	1	-	0	-
1	0	0	1	0	1	1	0	0	1	-	1	-
1	0	0	1	0	1	1	0	1	1	-	0	-
1	0	0	1	0	1	1	1	0	1	-	0	-
1	0	0	1	0	1	1	1	1	1	-	1	-
1	0	0	1	1	0	0	0	0	0	-	0	-
1	0	0	1	1	0	0	0	1	0	-	1	-
1	0	0	1	1	0	0	1	0	0	-	1	-
1	0	0	1	1	0	0	1	1	0	-	0	-
1	0	0	1	1	0	1	0	0	0	-	1	-
1	0	0	1	1	0	1	0	1	0	-	0	-
1	0	0	1	1	0	1	1	0	0	-	0	-
1	0	0	1	1	0	1	1	1	0	-	1	-
1	0	0	1	1	1	0	0	0	0	-	0	-
1	0	0	1	1	1	0	0	1	0	-	1	-
1	0	0	1	1	1	0	1	0	0	-	1	-
1	0	0	1	1	1	0	1	1	0	-	0	-
1	0	0	1	1	1	1	0	0	0	-	1	-
1	0	0	1	1	1	1	0	1	0	-	0	-
1	0	0	1	1	1	1	1	0	0	-	0	-
1	0	0	1	1	1	1	1	1	0	-	1	-
1	0	1	0	0	0	0	0	0	1	-	0	-
1	0	1	0	0	0	0	0	1	1	-	1	-
1	0	1	0	0	0	0	1	0	1	-	1	-
1	0	1	0	0	0	0	1	1	1	-	0	-
1	0	1	0	0	0	1	0	0	1	-	1	-
1	0	1	0	0	0	1	0	1	1	-	0	-
1	0	1	0	0	0	1	1	0	1	-	0	-
1	0	1	0	0	0	1	1	1	1	-	1	-
1	0	1	0	0	1	0	0	0	1	-	0	-
1	0	1	0	0	1	0	0	1	1	-	1	-
1	0	1	0	0	1	0	1	0	1	-	1	-
1	0	1	0	0	1	0	1	1	1	-	0	-
1	0	1	0	0	1	1	0	0	1	-	1	-
1	0	1	0	0	1	1	0	1	1	-	0	-
1	0	1	0	0	1	1	1	0	1	-	0	-
1	0	1	0	0	1	1	1	1	1	-	1	-
1	0	1	0	1	0	0	0	0	0	-	0	-
1	0	1	0	1	0	0	0	1	0	-	1	-
1	0	1	0	1	0	0	1	0	0	-	1	-
1	0	1	0	1	0	0	1	1	0	-	0	-
1	0	1	0	1	0	1	0	0	0	-	1	-
1	0	1	0	1	0	1	0	1	0	-	0	-
1	0	1	0	1	0	1	1	0	0	-	0	-
1	0	1	0	1	0	1	1	1	0	-	1	-
1	0	1	0	1	1	0	0	0	0	-	0	-
1	0	1	0	1	1	0	0	1	0	-	1	-
1	0	1	0	1	1	0	1	0	0	-	1	-
1	0	1	0	1	1	0	1	1	0	-	0	-
1	0	1	0	1	1	1	0	0	0	-	1	-
1	0	1	0	1	1	1	0	1	0	-	0	-
1	0	1	0	1	1	1	1	0	0	-	0	-
1	0	1	0	1	1	1	1	1	0	-	1	-
1	0	1	1	0	0	0	0	0	0	-	0	-
1	0	1	1	0	0	0	0	1	0	-	1	-
1	0	1	1	0	0	0	1	0	0	-	1	-
1	0	1	1	0	0	0	1	1	0	-	0	-
1	0	1	1	0	0	1	0	0	0	-	1	-
1	0	1	1	0	0	1	0	1	0	-	0	-
1	0	1	1	0	0	1	1	0	0	-	0	-
1	0	1	1	0	0	1	1	1	0	-	1	-
1	0	1	1	0	1	0	0	0	0	-	0	-
1	0	1	1	0	1	0	0	1	0	-	1	-
1	0	1	1	0	1	0	1	0	0	-	1	-
1	0	1	1	0	1	0	1	1	0	-	0	-
1	0	1	1	0	1	1	0	0	0	-	1	-
1	0	1	1	0	1	1	0	1	0	-	0	-
1	0	1	1	0	1	1	1	0	0	-	0	-
1	0	1	1	0	1	1	1	1	0	-	1	-
1	0	1	1	1	0	0	0	0	1	-	0	-
1	0	1	1	1	0	0	0	1	1	-	1	-
1	0	1	1	1	0	0	1	0	1	-	1	-
1	0	1	1	1	0	0	1	1	1	-	0	-
1	0	1	1	1	0	1	0	0	1	-	1	-
1	0	1	1	1	0	1	0	1	1	-	0	-
1	0	1	1	1	0	1	1	0	1	-	0	-
1	0	1	1	1	0	1	1	1	1	-	1	-
1	0	1	1	1	1	0	0	0	1	-	0	-
1	0	1	1	1	1	0	0	1	1	-	1	-
1	0	1	1	1	1	0	1	0	1	-	1	-
1	0	1	1	1	1	0	1	1	1	-	0	-
1	0	1	1	1	1	1	0	0	1	-	1	-
1	0	1	1	1	1	1	0	1	1	-	0	-
1	0	1	1	1	1	1	1	0	1	-	0	-
1	0	1	1	1	1	1	1	1	1	-	1	-
1	1	0	0	0	0	0	0	0	0	-	0	-
1	1	0	0	0	0	0	0	1	0	-	1	-
1	1	0	0	0	0	0	1	0	0	-	1	-
1	1	0	0	0	0	0	1	1	0	-	0	-
1	1	0	0	0	0	1	0	0	0	-	1	-
1	1	0	0	0	0	1	0	1	0	-	0	-
1	1	0	0	0	0	1	1	0	0	-	0	-
1	1	0	0	0	0	1	1	1	0	-	1	-
1	1	0	0	0	1	0	0	0	0	-	0	-
1	1	0	0	0	1	0	0	1	0	-	1	-
1	1	0	0	0	1	0	1	0	0	-	1	-
1	1	0	0	0	1	0	1	1	0	-	0	-
1	1	0	0	0	1	1	0	0	0	-	1	-
1	1	0	0	0	1	1	0	1	0	-	0	-
1	1	0	0	0	1	1	1	0	0	-	0	-
1	1	0	0	0	1	1	1	1	0	-	1	-
1	1	0	0	1	0	0	0	0	1	-	0	-
1	1	0	0	1	0	0	0	1	1	-	1	-
1	1	0	0	1	0	0	1	0	1	-	1	-
1	1	0	0	1	0	0	1	1	1	-	0	-
1	1	0	0	1	0	1	0	0	1	-	1	-
1	1	0	0	1	0	1	0	1	1	-	0	-
1	1	0	0	1	0	1	1	0	1	-	0	-
1	1	0	0	1	0	1	1	1	1	-	1	-
1	1	0	0	1	1	0	0	0	1	-	0	-
1	1	0	0	1	1	0	0	1	1	-	1	-
1	1	0	0	1	1	0	1	0	1	-	1	-
1	1	0	0	1	1	0	1	1	1	-	0	-
1	1	0	0	1	1	1	0	0	1	-	1	-
1	1	0	0	1	1	1	0	1	1	-	0	-
1	1	0	0	1	1	1	1	0	1	-	0	-
1	1	0	0	1	1	1	1	1	1	-	1	-
1	1	0	1	0	0	0	0	0	1	-	0	-
1	1	0	1	0	0	0	0	1	1	-	1	-
1	1	0	1	0	0	0	1	0	1	-	1	-
1	1	0	1	0	0	0	1	1	1	-	0	-
1	1	0	1	0	0	1	0	0	1	-	1	-
1	1	0	1	0	0	1	0	1	1	-	0	-
1	1	0	1	0	0	1	1	0	1	-	0	-
1	1	0	1	0	0	1	1	1	1	-	1	-
1	1	0	1	0	1	0	0	0	1	-	0	-
1	1	0	1	0	1	0	0	1	1	-	1	-
1	1	0	1	0	1	0	1	0	1	-	1	-
1	1	0	1	0	1	0	1	1	1	-	0	-
1	1	0	1	0	1	1	0	0	1	-	1	-
1	1	0	1	0	1	1	0	1	1	-	0	-
1	1	0	1	0	1	1	1	0	1	-	0	-
1	1	0	1	0	1	1	1	1	1	-	1	-
1	1	0	1	1	0	0	0	0	0	-	0	-
1	1	0	1	1	0	0	0	1	0	-	1	-
1	1	0	1	1	0	0	1	0	0	-	1	-
1	1	0	1	1	0	0	1	1	0	-	0	-
1	1	0	1	1	0	1	0	0	0	-	1	-
1	1	0	1	1	0	1	0	1	0	-	0	-
1	1	0	1	1	0	1	1	0	0	-	0	-
1	1	0	1	1	0	1	1	1	0	-	1	-
1	1	0	1	1	1	0	0	0	0	-	0	-
1	1	0	1	1	1	0	0	1	0	-	1	-
1	1	0	1	1	1	0	1	0	0	-	1	-
1	1	0	1	1	1	0	1	1	0	-	0	-
1	1	0	1	1	1	1	0	0	0	-	1	-
1	1	0	1	1	1	1	0	1	0	-	0	-
1	1	0	1	1	1	1	1	0	0	-	0	-
1	1	0	1	1	1	1	1	1	0	-	1	-
1	1	1	0	0	0	0	0	0	1	-	0	-
1	1	1	0	0	0	0	0	1	1	-	1	-
1	1	1	0	0	0	0	1	0	1	-	1	-
1	1	1	0	0	0	0	1	1	1	-	0	-
1	1	1	0	0	0	1	0	0	1	-	1	-
1	1	1	0	0	0	1	0	1	1	-	0	-
1	1	1	0	0	0	1	1	0	1	-	0	-
1	1	1	0	0	0	1	1	1	1	-	1	-
1	1	1	0	0	1	0	0	0	1	-	0	-
1	1	1	0	0	1	0	0	1	1	-	1	-
1	1	1	0	0	1	0	1	0	1	-	1	-
1	1	1	0	0	1	0	1	1	1	-	0	-
1	1	1	0	0	1	1	0	0	1	-	1	-
1	1	1	0	0	1	1	0	1	1	-	0	-
1	1	1	0	0	1	1	1	0	1	-	0	-
1	1	1	0	0	1	1	1	1	1	-	1	-
1	1	1	0	1	0	0	0	0	0	-	0	-
1	1	1	0	1	0	0	0	1	0	-	1	-
1	1	1	0	1	0	0	1	0	0	-	1	-
1	1	1	0	1	0	0	1	1	0	-	0	-
1	1	1	0	1	0	1	0	0	0	-	1	-
1	1	1	0	1	0	1	0	1	0	-	0	-
1	1	1	0	1	0	1	1	0	0	-	0	-
1	1	1	0	1	0	1	1	1	0	-	1	-
1	1	1	0	1	1	0	0	0	0	-	0	-
1	1	1	0	1	1	0	0	1	0	-	1	-
1	1	1	0	1	1	0	1	0	0	-	1	-
1	1	1	0	1	1	0	1	1	0	-	0	-
1	1	1	0	1	1	1	0	0	0	-	1	-
1	1	1	0	1	1	1	0	1	0	-	0	-
1	1	1	0	1	1	1	1	0	0	-	0	-
1	1	1	0	1	1	1	1	1	0	-	1	-
1	1	1	1	0	0	0	0	0	0	-	0	-
1	1	1	1	0	0	0	0	1	0	-	1	-
1	1	1	1	0	0	0	1	0	0	-	1	-
1	1	1	1	0	0	0	1	1	0	-	0	-
1	1	1	1	0	0	1	0	0	0	-	1	-
1	1	1	1	0	0	1	0	1	0	-	0	-
1	1	1	1	0	0	1	1	0	0	-	0	-
1	1	1	1	0	0	1	1	1	0	-	1	-
1	1	1	1	0	1	0	0	0	0	-	0	-
1	1	1	1	0	1	0	0	1	0	-	1	-
1	1	1	1	0	1	0	1	0	0	-	1	-
1	1	1	1	0	1	0	1	1	0	-	0	-
1	1	1	1	0	1	1	0	0	0	-	1	-
1	1	1	1	0	1	1	0	1	0	-	0	-
1	1	1	1	0	1	1	1	0	0	-	0	-
1	1	1	1	0	1	1	1	1	0	-	1	-
1	1	1	1	1	0	0	0	0	1	-	0	-
1	1	1	1	1	0	0	0	1	1	-	1	-
1	1	1	1	1	0	0	1	0	1	-	1	-
1	1	1	1	1	0	0	1	1	1	-	0	-
1	1	1	1	1	0	1	0	0	1	-	1	-
1	1	1	1	1	0	1	0	1	1	-	0	-
1	1	1	1	1	0	1	1	0	1	-	0	-
1	1	1	1	1	0	1	1	1	1	-	1	-
1	1	1	1	1	1	0	0	0	1	-	0	-
1	1	1	1	1	1	0	0	1	1	-	1	-
1	1	1	1	1	1	0	1	0	1	-	1	-
1	1	1	1	1	1	0	1	1	1	-	0	-
1	1	1	1	1	1	1	0	0	1	-	1	-
1	1	1	1	1	1	1	0	1	1	-	0	-
1	1	1	1	1	1	1	1	0	1	-	0	-
1	1	1	1	1	1	1	1	1	1	-	1	-
